342,179
439,198
411,351
464,370
369,367
349,407
254,388
392,419
373,461
358,502
453,529
447,567
465,599
550,607
560,547
567,515
498,612
530,536
430,953
617,640
664,515
556,626
491,453
716,531
694,598
685,660
798,693
528,424
819,608
817,546
909,585
833,562
527,799
787,548
820,441
807,479
735,457
696,468
572,470
729,479
699,447
664,439
627,432
637,399
590,387
574,434
567,485
566,229
552,290
558,311
548,344
736,389
762,278
829,414
881,421
500,417
358,580
358,614
450,640
398,610
402,563
506,382
526,683
462,794
426,1018
635,710
782,746
488,667
446,699
251,709
372,704
1089,659
1118,569
1038,514
1056,342
1052,400
1056,453
1015,448
977,597
949,685
941,782
1110,713
1129,743
1037,787
1002,702
1000,732
1045,744
1064,721
937,1041
1225,849
1172,832
1111,806
1457,953
1331,873
1246,811
1214,821
1074,703
1120,768
1358,1041
1461,1059
1445,994
1355,940
1384,902
1310,917
532,1027
528,1063
429,1050
1108,926
1293,935
1354,1020
1237,1050
1213,978
944,979
1107,971
737,679
665,1030
460,853
652,682
380,859
378,934
253,996
386,997
394,1052
341,1143
1702,1015
1616,965
1479,1017
1527,1008
1576,1009
868,309
655,256
1006,504
871,603
875,579
845,456
1126,674
1138,724
1028,403
698,514
1306,1053
1391,855
1425,857
1767,1023
1766,970
1692,969
1896,961
1704,1030
1832,1028
1898,993
1844,992
428,252
342,248
364,299
386,322
586,659
496,1104
432,1122
409,1126
388,1072
915,1022
875,1038
1165,737
1260,791
1284,804
1357,847
648,703
1504,921
1535,918
1550,935
1501,965
1487,978
873,776
884,751
942,753
378,894
349,892
310,877
313,824
313,847
311,909
311,941
479,692
465,709
467,664
303,642
303,618
304,582
303,549
311,519
329,462
386,508
895,433
900,418
764,467
582,671
405,377
510,609
485,607
501,621
620,668
614,678
989,551
989,1041
989,1001
945,997
634,677
642,658
658,663
638,667
631,689
628,698
1014,608
789,721
837,673
807,661
576,599
633,598
649,586
356,647
634,647
650,694
655,672
1865,1059
1864,1022
1463,1123
1399,885
1393,846
1414,820
1431,834
1511,947
1532,953
1512,938
1529,942
1554,927
1532,908
1430,841
1412,829
1407,857
1405,868
1231,805
1300,817
1321,836
1344,812
1151,730
1318,788
1302,775
1280,757
1159,692
1177,702
1197,711
1216,723
1240,737
1255,747
1186,747
1209,763
1233,779
1164,686
1180,696
1203,706
1221,717
1246,732
1260,739
1284,749
1298,766
1319,779
1346,802
1326,825
1302,807
1286,794
1259,781
1237,767
1211,750
1189,737
1169,729
1141,714
1154,724
1147,969
1068,971
326,1174
426,858
346,854
301,666
622,367
582,413
648,470
679,642
714,566
711,606
459,537
444,532
441,552
312,239
377,236
312,319
401,338
344,297
322,292
344,289
320,325
364,322
318,234
383,232
864,325
651,270
705,497
598,478
603,444
835,494
825,527
1063,572
1104,535
643,679
541,264
559,270
343,324
343,332
345,249
538,377
327,666
628,585
327,647
326,623
325,591
329,559
329,537
344,514
318,495
412,519
533,661
1075,524
1001,650
1028,556
552,582
472,648
778,706
748,705
802,717
755,697
719,688
715,698
681,690
690,677
541,647
443,588
498,644
525,601
340,824
1520,929
1433,867
1123,725
1133,700
1264,763
1256,770
1350,885
